ID	SS02	SS04	SS06	SS08	SS10	SS12	SS14	AC	Gene_name_short	Protein_name	Species	Evalue
comp212326_c0	1549.56	1769.68	1539.19	1007.37	632.72	634.2	706.41	Q96AE4	FUBP1_HUMAN	"Far upstream element-binding protein 1"	"Homo sapiens (Human)."	0.000000003
comp212326_c0	1549.56	1769.68	1539.19	1007.37	632.72	634.2	706.41	Q3U0V1	FUBP2_MOUSE	"Far upstream element-binding protein 2"	"Mus musculus (Mouse)."	0.0000000007
comp212326_c0	1549.56	1769.68	1539.19	1007.37	632.72	634.2	706.41	Q3U0V1	FUBP2_MOUSE	"Far upstream element-binding protein 2"	"Mus musculus (Mouse)."	0.0000000006
comp210349_c0	1474.74	700.01	687.54	707.82	245.04	179.12	453.18	Q90YS3	RS2_ICTPU	"40S ribosomal protein S2"	"Ictalurus punctatus (Channel cat"	3e-149
comp211698_c1	1390.51	1312.09	1046.87	1122.02	768.78	769.1	1077.53	Q5RBU8	ROA2_PONAB	"Heterogeneous nuclear ribonucleoproteins A2/B1"	"Pongo abelii (Sumatran orangutan"	1e-82
comp211698_c1	1390.51	1312.09	1046.87	1122.02	768.78	769.1	1077.53	Q5TZ51	MPV17_DANRE	"Protein Mpv17"	"Danio rerio (Zebrafish) (Brachyd"	5e-41
comp208293_c0	1384.8	1276.94	1063.82	1144.88	282.2	224.3	605.83	Q4R8Z2	RL13A_MACFA	"60S ribosomal protein L13a"	"Macaca fascicularis (Crab-eating"	2e-93
comp210796_c1	1365.86	1370.84	1137.23	1179.94	369.55	325.67	547.21	Q6QMZ4	RL6_CHILA	"60S ribosomal protein L6"	"Chinchilla lanigera (Long-tailed"	2e-63
comp197776_c1	1340.12	1206.63	1060.65	976.62	239.69	200.29	522.39	Q8ISP0	RS18_BRABE	"40S ribosomal protein S18"	"Branchiostoma belcheri (Amphioxu"	2e-98
comp226397_c0	1317.33	1502.4	1210.67	1176.31	265.12	218.78	606.54	P23403	RS20_XENLA	"40S ribosomal protein S20"	"Xenopus laevis (African clawed f"	1e-70
comp186306_c0	1260.65	1263.48	1111.45	1128.35	262.18	237.63	513.17	Q3SZQ6	RL32_BOVIN	"60S ribosomal protein L32"	"Bos taurus (Bovine)."	2e-71
comp118767_c0	1193.18	1226.65	1119.6	1072.16	268.09	219.94	534.59	P27074	RL44Q_CANMA	"60S ribosomal protein L44 Q"	"Candida maltosa (Yeast)."	1e-53
comp218845_c8	1184.56	1122.36	1119.19	1060.31	224.15	177.57	569.98	Q9GRJ3	RS23_LUMRU	"40S ribosomal protein S23"	"Lumbricus rubellus (Humus earthw"	4e-96
comp208486_c1	1181.89	502.7	509.81	431.92	124.33	96.61	104.87	Q60FX9	CCNB2_ANGJA	"G2/mitotic-specific cyclin-B2"	"Anguilla japonica (Japanese eel)"	3e-60
comp197812_c0	1149.76	1071.45	1038.33	840.07	237.95	199.28	457.13	A8CAG3	RL17_PHLPP	"60S ribosomal protein L17"	"Phlebotomus papatasi (Sandfly)."	6e-96
comp186325_c0	1143.12	802.64	857.84	893.33	256.41	187.03	462.9	Q9VTP4	R10AB_DROME	"60S ribosomal protein L10a-2"	"Drosophila melanogaster (Fruit f"	3e-106
comp206499_c0	1139.28	1007.4	932.03	825.9	236.31	164.5	385.83	P67985	RL22_PIG	"60S ribosomal protein L22"	"Sus scrofa (Pig)."	2e-44
comp206812_c0	1132.28	1071.88	918.82	926.33	263.33	243.55	515.64	O01802	RL7_CAEEL	"60S ribosomal protein L7"	"Caenorhabditis elegans."	3e-115
comp118748_c0	1116.8	1055.51	980.82	1024.21	240.19	203.3	553.66	Q6QAP7	RS17_PIG	"40S ribosomal protein S17"	"Sus scrofa (Pig)."	5e-73
comp217751_c3	1107.75	1193.16	1064.3	1044.87	219.3	205.15	507.09	Q962Q6	RS24_SPOFR	"40S ribosomal protein S24"	"Spodoptera frugiperda (Fall army"	2e-70
comp208900_c0	1101.52	1344.09	1303.86	954.68	366.99	321.4	775.51	P42577	FRIS_LYMST	"Soma ferritin"	"Lymnaea stagnalis (Great pond sn"	5e-93
comp118743_c0	1101.29	1104.05	803.82	853.32	210.71	169.56	472.58	Q9IA76	RL31_PAROL	"60S ribosomal protein L31"	"Paralichthys olivaceus (Bastard "	1e-59
comp215267_c2	1088.9	714.87	506.08	282.21	169.6	108.73	101.2	P35224	CTNB_URECA	"Catenin beta"	"Urechis caupo (Innkeeper worm) ("	0
comp211841_c0	1056.36	855.07	864.35	988.66	367.61	325.42	599.57	Q15542	TAF5_HUMAN	"Transcription initiation factor TFIID subunit 5"	"Homo sapiens (Human)."	0
comp204035_c0	1036.2	942.14	820.33	824.86	223	188.03	488.71	P62264	RS14_MOUSE	"40S ribosomal protein S14"	"Mus musculus (Mouse)."	1e-85
comp186301_c0	1021.79	1080.36	1113.41	958.76	209.51	180.65	507.34	A8D8X1	RL10_SHEEP	"60S ribosomal protein L10"	"Ovis aries (Sheep)."	4e-129
comp220192_c1	1008.1	509.57	615.05	781.47	534.16	601.12	1425.01	Q68FR8	TBA3_RAT	"Tubulin alpha-3 chain"	"Rattus norvegicus (Rat)."	0
comp220192_c1	1008.1	509.57	615.05	781.47	534.16	601.12	1425.01	Q32KN8	TBA3_BOVIN	"Tubulin alpha-3 chain"	"Bos taurus (Bovine)."	0
comp220192_c1	1008.1	509.57	615.05	781.47	534.16	601.12	1425.01	P68373	TBA1C_MOUSE	"Tubulin alpha-1C chain"	"Mus musculus (Mouse)."	0
comp220192_c1	1008.1	509.57	615.05	781.47	534.16	601.12	1425.01	P06603	TBA1_DROME	"Tubulin alpha-1 chain"	"Drosophila melanogaster (Fruit f"	0
comp215284_c1	1006.36	570.5	253.21	122.06	52.32	33.24	18.9	Q91W45	PAI2B_MOUSE	"Polyadenylate-binding protein-interacting protein 2B"	"Mus musculus (Mouse)."	0.000000001
comp215284_c1	1006.36	570.5	253.21	122.06	52.32	33.24	18.9	Q91W45	PAI2B_MOUSE	"Polyadenylate-binding protein-interacting protein 2B"	"Mus musculus (Mouse)."	0.000000003
comp213501_c1	991.16	893.27	919.76	985.05	224.28	213.41	496.91	P62752	RL23A_RAT	"60S ribosomal protein L23a"	"Rattus norvegicus (Rat)."	2e-59
comp209895_c1	954.95	1040.18	810.03	763.44	180.94	142.75	395.44	P62246	RS15A_RAT	"40S ribosomal protein S15a"	"Rattus norvegicus (Rat)."	8e-84
comp222452_c1	947.21	608.18	537.19	416.88	89.09	53	94.27	Q8IZJ3	CPMD8_HUMAN	"C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8"	"Homo sapiens (Human)."	0.000000007
comp163839_c0	942.76	1023.39	833.98	851.22	205.77	192.22	426.71	P62856	RS26_RAT	"40S ribosomal protein S26"	"Rattus norvegicus (Rat)."	4e-61
comp208410_c0	935.09	595.18	718.31	714.28	207.68	165.46	447.11	P62979	RS27A_HUMAN	"Ubiquitin-40S ribosomal protein S27a"	"Homo sapiens (Human)."	3e-93
comp205986_c0	911.43	857.96	731.3	650.77	232.14	197.54	422.76	P18101	RL40_DROME	"Ubiquitin-60S ribosomal protein L40"	"Drosophila melanogaster (Fruit f"	3e-88
comp214773_c0	901.63	1003.41	728.71	502.23	217.25	208.8	197.51	P43487	RANG_HUMAN	"Ran-specific GTPase-activating protein"	"Homo sapiens (Human)."	1e-64
comp218178_c0	901.38	810.2	330.48	139.23	93.34	61.77	42.19	Q6GWX0	DDX4_PIG	"Probable ATP-dependent RNA helicase DDX4"	"Sus scrofa (Pig)."	0
comp218178_c0	901.38	810.2	330.48	139.23	93.34	61.77	42.19	Q4R5S7	DDX4_MACFA	"Probable ATP-dependent RNA helicase DDX4"	"Macaca fascicularis (Crab-eating"	0
comp220721_c0	894.09	329.25	365.02	294.92	119.79	108.71	80.3	P24862	CCNB_PATVU	"G2/mitotic-specific cyclin-B"	"Patella vulgata (Common limpet)."	8e-57
comp220721_c0	894.09	329.25	365.02	294.92	119.79	108.71	80.3	Q5VW36	FOCAD_HUMAN	Focadhesin	"Homo sapiens (Human)."	0
comp210210_c1	884.96	770.47	584.2	665.79	215.92	174.02	344.41	Q6PBF0	RL8_XENTR	"60S ribosomal protein L8"	"Xenopus tropicalis (Western claw"	9e-45
comp204576_c0	876.01	761.85	642.4	678.29	203.69	176	376.7	Q90YV5	RL13_ICTPU	"60S ribosomal protein L13"	"Ictalurus punctatus (Channel cat"	7e-96
comp210301_c0	866.23	552.8	507.58	577.83	467.61	443.18	941.04	P62630	EF1A1_RAT	"Elongation factor 1-alpha 1"	"Rattus norvegicus (Rat)."	0
comp214641_c1	835.52	989.65	797.48	803.88	145.84	127.57	464.56	Q9GNE2	RL23_AEDAE	"60S ribosomal protein L23"	"Aedes aegypti (Yellowfever mosqu"	3e-85
comp204626_c0	824.11	957.33	744.62	768.04	160.4	145.82	366.47	P46405	RS12_PIG	"40S ribosomal protein S12"	"Sus scrofa (Pig)."	2e-71
comp224069_c1	818.83	770.76	703.85	717.03	177.26	153.07	392.45	Q945U1	RS15_ELAOL	"40S ribosomal protein S15"	"Elaeis oleifera (American oil pa"	1e-83
comp224069_c1	818.83	770.76	703.85	717.03	177.26	153.07	392.45	P52963	E41LA_MOUSE	"Band 4.1-like protein 4A"	"Mus musculus (Mouse)."	5e-33
comp219763_c1	793.66	1061.23	979.69	762.81	275.43	232.66	238.79	O08583	THOC4_MOUSE	"THO complex subunit 4"	"Mus musculus (Mouse)."	9e-61
comp118750_c0	778.47	729.84	541	603.72	160.6	132.24	325.62	O77302	RS10_LUMRU	"40S ribosomal protein S10"	"Lumbricus rubellus (Humus earthw"	1e-76
comp163836_c0	754.87	744.35	551.13	775.99	310.61	266.08	348.41	Q26481	RL5_STYCL	"60S ribosomal protein L5"	"Styela clava (Sea squirt)."	4e-159
comp225075_c0	746.43	704.58	566.19	501.44	152.14	105.78	272.11	Q9BMX5	RS6_APLCA	"40S ribosomal protein S6"	"Aplysia californica (California "	1e-70
comp118744_c0	740.61	767.21	636.65	662.72	201.05	167.36	342.14	Q6NXB2	PDZ11_DANRE	"PDZ domain-containing protein 11"	"Danio rerio (Zebrafish) (Brachyd"	2e-40
comp118744_c0	740.61	767.21	636.65	662.72	201.05	167.36	342.14	Q6PBY1	RS3A_DANRE	"40S ribosomal protein S3a"	"Danio rerio (Zebrafish) (Brachyd"	5e-150
comp223393_c0	736.81	649.54	465.3	291.97	208.28	129.76	111.66	Q62448	IF4G2_MOUSE	"Eukaryotic translation initiation factor 4 gamma 2"	"Mus musculus (Mouse)."	0
comp206901_c0	720.03	454.96	544.69	452.63	157.47	111.49	244.14	Q9XSJ0	UCHL5_BOVIN	"Ubiquitin carboxyl-terminal hydrolase isozyme L5"	"Bos taurus (Bovine)."	5e-160
comp206901_c0	720.03	454.96	544.69	452.63	157.47	111.49	244.14	Q50KA9	NDKA_CANFA	"Nucleoside diphosphate kinase A"	"Canis familiaris (Dog) (Canis lu"	2e-77
comp118759_c0	711.01	638.46	540.73	626.66	109.02	105.93	333.75	P49393	RS13_XENLA	"40S ribosomal protein S13"	"Xenopus laevis (African clawed f"	4e-102
comp209918_c1	708.99	656.45	581.68	513.16	129.58	112.15	290.84	Q95V34	RS4_SPOFR	"40S ribosomal protein S4"	"Spodoptera frugiperda (Fall army"	2e-160
comp209918_c1	708.99	656.45	581.68	513.16	129.58	112.15	290.84	Q07243	MTF1_MOUSE	"Metal regulatory transcription factor 1"	"Mus musculus (Mouse)."	5e-98
comp210812_c0	680.03	530.87	462.29	499.08	170.3	156.57	243.59	Q1HPL8	NDUBA_BOMMO	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10"	"Bombyx mori (Silk moth)."	3e-42
comp210812_c0	680.03	530.87	462.29	499.08	170.3	156.57	243.59	P27659	RL3_MOUSE	"60S ribosomal protein L3"	"Mus musculus (Mouse)."	0
comp210210_c0	673.19	564.07	468.21	503.58	109.54	100.59	284.49	Q95V39	RL8_SPOFR	"60S ribosomal protein L8"	"Spodoptera frugiperda (Fall army"	7e-105
comp225067_c1	657.75	660.03	515.34	494.29	119.86	98.16	249.05	P29314	RS9_RAT	"40S ribosomal protein S9"	"Rattus norvegicus (Rat)."	1e-109
comp212531_c0	652.32	64.48	42.09	18.66	53.18	39.49	22.11	Q9D5L7	SPSB1_MOUSE	"SPRY domain-containing SOCS box protein 1"	"Mus musculus (Mouse)."	3e-143
comp215492_c3	611.01	534	432.22	492.58	162.81	141.66	294.35	Q90YV0	RL18_ICTPU	"60S ribosomal protein L18"	"Ictalurus punctatus (Channel cat"	2e-101
comp220140_c0	595.1	491.21	473.88	454.18	127.05	111.96	311.67	Q9W6Y0	RS30_ORYLA	"40S ribosomal protein S30"	"Oryzias latipes (Medaka fish) (J"	8e-23
comp211780_c0	582.95	706.38	650.8	476.67	239.88	221.6	359.14	Q02427	RBP1_DROME	"RNA-binding protein 1"	"Drosophila melanogaster (Fruit f"	2e-37
comp211780_c0	582.95	706.38	650.8	476.67	239.88	221.6	359.14	Q8N3Y7	RDHE2_HUMAN	"Epidermal retinol dehydrogenase 2"	"Homo sapiens (Human)."	3e-101
comp211780_c0	582.95	706.38	650.8	476.67	239.88	221.6	359.14	Q01844	EWS_HUMAN	"RNA-binding protein EWS"	"Homo sapiens (Human)."	3e-42
comp211780_c0	582.95	706.38	650.8	476.67	239.88	221.6	359.14	Q02427	RBP1_DROME	"RNA-binding protein 1"	"Drosophila melanogaster (Fruit f"	3e-37
comp211780_c0	582.95	706.38	650.8	476.67	239.88	221.6	359.14	Q61545	EWS_MOUSE	"RNA-binding protein EWS"	"Mus musculus (Mouse)."	1e-41
comp211780_c0	582.95	706.38	650.8	476.67	239.88	221.6	359.14	Q01844	EWS_HUMAN	"RNA-binding protein EWS"	"Homo sapiens (Human)."	4e-42
comp211780_c0	582.95	706.38	650.8	476.67	239.88	221.6	359.14	Q61545	EWS_MOUSE	"RNA-binding protein EWS"	"Mus musculus (Mouse)."	6e-40
comp211780_c0	582.95	706.38	650.8	476.67	239.88	221.6	359.14	Q61545	EWS_MOUSE	"RNA-binding protein EWS"	"Mus musculus (Mouse)."	2e-41
comp219793_c0	582.18	510.3	479.94	501.06	80.61	71.99	288.25	P45842	RL34_AEDAL	"60S ribosomal protein L34"	"Aedes albopictus (Asian tiger mo"	3e-42
comp219793_c0	582.18	510.3	479.94	501.06	80.61	71.99	288.25	Q61066	NR0B1_MOUSE	"Nuclear receptor subfamily 0 group B member 1"	"Mus musculus (Mouse)."	3e-18
comp219862_c0	577.5	403.95	283.34	340.32	145.17	124.39	123.86	P34743	BTG1_CHICK	"Protein BTG1"	"Gallus gallus (Chicken)."	3e-48
comp206934_c0	567.49	416	415.69	549.98	190.18	160.89	297.07	P36241	RL19_DROME	"60S ribosomal protein L19"	"Drosophila melanogaster (Fruit f"	6e-101
comp222957_c1	560.23	331.07	297.94	116.95	46.09	33.95	29.06	Q9DAN6	GTSF1_MOUSE	"Gametocyte-specific factor 1"	"Mus musculus (Mouse)."	0.000000000000001
comp186401_c0	532.4	544.21	408.6	363.02	118.04	96.28	242.14	Q24186	RS5A_DROME	"40S ribosomal protein S5a"	"Drosophila melanogaster (Fruit f"	8e-127
comp163787_c0	527.24	234.56	435.85	511.11	293.12	295.49	576.55	P18238	ADT3_YEAST	"ADP,ATP carrier protein 3"	"Saccharomyces cerevisiae (strain"	4e-134
comp214250_c1	510.11	282.09	227.41	178.35	176.02	167.99	231.8	Q6NX31	MCM7_XENTR	"DNA replication licensing factor mcm7"	"Xenopus tropicalis (Western claw"	0
comp212818_c0	508.11	315.51	263.42	392.35	183.32	142.6	251.71	Q3ZM03	RSSA_XENLA	"40S ribosomal protein SA"	"Xenopus laevis (African clawed f"	1e-142
comp186269_c0	504.87	414.67	355.08	367.87	102.39	85.5	196.29	Q95WA0	RL26_LITLI	"60S ribosomal protein L26"	"Littorina littorea (Common periw"	2e-78
comp204562_c0	500.88	742.96	729.45	517.43	234.65	262.32	407.92	Q6P823	H33_XENTR	"Histone H3.3"	"Xenopus tropicalis (Western claw"	1e-93
comp224376_c0	488.83	381.99	371.47	390.74	263.69	264.08	268.74	Q5ZIQ3	HNRPK_CHICK	"Heterogeneous nuclear ribonucleoprotein K"	"Gallus gallus (Chicken)."	3e-103
comp224376_c0	488.83	381.99	371.47	390.74	263.69	264.08	268.74	Q8NA69	CS045_HUMAN	"Uncharacterized protein C19orf45"	"Homo sapiens (Human)."	0.00000008
comp224376_c0	488.83	381.99	371.47	390.74	263.69	264.08	268.74	Q95KV7	NDUAD_BOVIN	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13"	"Bos taurus (Bovine)."	6e-25
comp224376_c0	488.83	381.99	371.47	390.74	263.69	264.08	268.74	Q5ZIQ3	HNRPK_CHICK	"Heterogeneous nuclear ribonucleoprotein K"	"Gallus gallus (Chicken)."	4e-103
comp224376_c0	488.83	381.99	371.47	390.74	263.69	264.08	268.74	Q5ZIQ3	HNRPK_CHICK	"Heterogeneous nuclear ribonucleoprotein K"	"Gallus gallus (Chicken)."	5e-102
comp216418_c1	485.93	213.88	307.73	314.13	174.81	175.81	394.62	P30151	EF1B_XENLA	"Elongation factor 1-beta"	"Xenopus laevis (African clawed f"	1e-102
comp216418_c1	485.93	213.88	307.73	314.13	174.81	175.81	394.62	Q66HF1	NDUS1_RAT	"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial"	"Rattus norvegicus (Rat)."	0
comp217164_c0	483.33	709.88	387.39	353.74	161.59	168.71	281.47	Q8T784	U184_BRAFL	"UPF0184 protein"	"Branchiostoma floridae (Florida "	0.000002
comp217164_c0	483.33	709.88	387.39	353.74	161.59	168.71	281.47	Q63413	DX39B_RAT	"Spliceosome RNA helicase Ddx39b"	"Rattus norvegicus (Rat)."	0
comp213226_c1	481.47	656.98	600.49	521.02	236.78	265.33	485.31	Q5ZI72	HNRDL_CHICK	"Heterogeneous nuclear ribonucleoprotein D-like"	"Gallus gallus (Chicken)."	8e-63
comp213226_c1	481.47	656.98	600.49	521.02	236.78	265.33	485.31	Q60668	HNRPD_MOUSE	"Heterogeneous nuclear ribonucleoprotein D0"	"Mus musculus (Mouse)."	2e-61
comp213226_c1	481.47	656.98	600.49	521.02	236.78	265.33	485.31	Q640A2	HNRDL_XENTR	"Heterogeneous nuclear ribonucleoprotein D-like"	"Xenopus tropicalis (Western claw"	8e-63
comp213226_c1	481.47	656.98	600.49	521.02	236.78	265.33	485.31	Q5ZI72	HNRDL_CHICK	"Heterogeneous nuclear ribonucleoprotein D-like"	"Gallus gallus (Chicken)."	2e-61
comp213226_c1	481.47	656.98	600.49	521.02	236.78	265.33	485.31	Q640A2	HNRDL_XENTR	"Heterogeneous nuclear ribonucleoprotein D-like"	"Xenopus tropicalis (Western claw"	6e-63
comp213226_c1	481.47	656.98	600.49	521.02	236.78	265.33	485.31	Q640A2	HNRDL_XENTR	"Heterogeneous nuclear ribonucleoprotein D-like"	"Xenopus tropicalis (Western claw"	3e-61
comp223317_c2	477.91	399.79	366.62	486.56	118.75	110.88	199.55	Q90YU9	RL18A_ICTPU	"60S ribosomal protein L18a"	"Ictalurus punctatus (Channel cat"	2e-94
comp210882_c0	470.44	152.81	206.99	169.97	55.61	31.22	26.65	C4YFX2	TUP1_CANAW	"Transcriptional repressor TUP1"	"Candida albicans (strain WO-1) ("	0.00000000000006
comp207128_c0	467.99	751.93	698.52	960.28	154.49	116.22	275.67	P41105	RL28_MOUSE	"60S ribosomal protein L28"	"Mus musculus (Mouse)."	3e-54
comp224201_c5	465.86	861.52	876.87	612.95	386.49	334.29	353.08	P49321	NASP_HUMAN	"Nuclear autoantigenic sperm protein"	"Homo sapiens (Human)."	6e-27
comp225075_c1	456.85	391.24	336.43	327.82	78.43	65.53	201.43	Q9BMX5	RS6_APLCA	"40S ribosomal protein S6"	"Aplysia californica (California "	2e-63
comp210828_c1	456.31	623.71	531.99	370.66	139.06	108.71	117	Q9VZS3	SUI1_DROME	"Protein translation factor SUI1 homolog"	"Drosophila melanogaster (Fruit f"	2e-48
comp210866_c0	455.96	421.51	316.04	370.52	154.85	128.05	262.91	P63245	GBLP_RAT	"Guanine nucleotide-binding protein subunit beta-2-like 1"	"Rattus norvegicus (Rat)."	0
comp118751_c0	446.09	840.95	669.79	484.6	190.47	219.91	401.28	Q5BJ65	H2AV_XENTR	"Histone H2A.V"	"Xenopus tropicalis (Western claw"	1e-81
comp204007_c0	440.5	365.47	343.13	357.6	69.31	59.06	182.4	Q4PM12	RL36_IXOSC	"60S ribosomal protein L36"	"Ixodes scapularis (Black-legged "	1e-43
comp204227_c0	436.17	399.32	326.03	260.7	168.02	140.18	157.71	P97379	G3BP2_MOUSE	"Ras GTPase-activating protein-binding protein 2"	"Mus musculus (Mouse)."	7e-91
comp216007_c0	435.46	869.62	830.12	695.34	349.05	323.02	373.31	P49321	NASP_HUMAN	"Nuclear autoantigenic sperm protein"	"Homo sapiens (Human)."	9e-49
comp215880_c0	430.6	267.25	315.92	926.74	822.03	996.43	2402.74	P41937	TBB4_CAEEL	"Tubulin beta-4 chain"	"Caenorhabditis elegans."	2e-88
comp215880_c0	430.6	267.25	315.92	926.74	822.03	996.43	2402.74	P41937	TBB4_CAEEL	"Tubulin beta-4 chain"	"Caenorhabditis elegans."	7e-90
comp215880_c0	430.6	267.25	315.92	926.74	822.03	996.43	2402.74	P11833	TBB_PARLI	"Tubulin beta chain"	"Paracentrotus lividus (Common se"	0
comp215880_c0	430.6	267.25	315.92	926.74	822.03	996.43	2402.74	P18700	TBB_STRPU	"Tubulin beta chain"	"Strongylocentrotus purpuratus (P"	3e-86
comp225214_c0	425.33	25.42	27.32	14.48	22.61	12.6	9.67	Q96KQ4	ASPP1_HUMAN	"Apoptosis-stimulating of p53 protein 1"	"Homo sapiens (Human)."	5e-54
comp225214_c0	425.33	25.42	27.32	14.48	22.61	12.6	9.67	Q62415	ASPP1_MOUSE	"Apoptosis-stimulating of p53 protein 1"	"Mus musculus (Mouse)."	1e-93
comp212340_c1	423.06	357.44	398.32	443.49	203.78	213.94	290.23	Q3THS6	METK2_MOUSE	"S-adenosylmethionine synthase isoform type-2"	"Mus musculus (Mouse)."	7e-133
comp209556_c0	408.54	388.7	317.33	302.51	64.38	51.19	173.1	P32969	RL9_HUMAN	"60S ribosomal protein L9"	"Homo sapiens (Human)."	3e-92
comp226041_c0	408.12	547.81	545.18	304.49	263.63	221.84	221.2	Q80YQ8	RMD5A_MOUSE	"Protein RMD5 homolog A"	"Mus musculus (Mouse)."	2e-89
comp226041_c0	408.12	547.81	545.18	304.49	263.63	221.84	221.2	Q6GLP4	RMD5A_XENLA	"Protein RMD5 homolog A"	"Xenopus laevis (African clawed f"	4e-92
comp226041_c0	408.12	547.81	545.18	304.49	263.63	221.84	221.2	Q5I0H4	TMCO1_RAT	"Transmembrane and coiled-coil domains protein 1"	"Rattus norvegicus (Rat)."	1e-58
comp214408_c0	406.55	270.59	230.97	80.03	44.05	32.06	19.2	Q9JLV2	TP4AP_MOUSE	"Short transient receptor potential channel 4-associated protein"	"Mus musculus (Mouse)."	9e-163
comp204137_c0	402.69	375.38	323.42	304.27	65.62	53.23	151.49	P61314	RL15_RAT	"60S ribosomal protein L15"	"Rattus norvegicus (Rat)."	9e-112
comp214324_c0	393.51	260.79	234.04	288.84	145.03	113.28	181.42	P49165	RL4_URECA	"60S ribosomal protein L4"	"Urechis caupo (Innkeeper worm) ("	0
comp206273_c0	389.47	306.55	274.84	257.73	206.31	163.19	240.01	P10984	ACT2_CAEEL	Actin-2	"Caenorhabditis elegans."	0
comp225540_c0	387.49	78.52	37.18	36.43	53.19	46.75	46.06	O75167	PHAR2_HUMAN	"Phosphatase and actin regulator 2"	"Homo sapiens (Human)."	4e-16
comp225540_c0	387.49	78.52	37.18	36.43	53.19	46.75	46.06	O08992	SDCB1_MOUSE	Syntenin-1	"Mus musculus (Mouse)."	9e-112
comp225540_c0	387.49	78.52	37.18	36.43	53.19	46.75	46.06	P62025	PHAR2_RAT	"Phosphatase and actin regulator 2"	"Rattus norvegicus (Rat)."	4e-57
comp215247_c0	384.92	500.5	435.96	334.68	167.29	199.3	291.93	Q6NYV5	SP30L_DANRE	"Histone deacetylase complex subunit SAP30L"	"Danio rerio (Zebrafish) (Brachyd"	4e-79
comp215247_c0	384.92	500.5	435.96	334.68	167.29	199.3	291.93	Q24537	HMG2_DROME	"High mobility group protein DSP1"	"Drosophila melanogaster (Fruit f"	4e-69
comp204279_c0	381.5	301.9	202.23	128.26	106.58	88.31	71.05	Q02645	HTS_DROME	"Protein hu-li tai shao"	"Drosophila melanogaster (Fruit f"	8e-162
comp204279_c0	381.5	301.9	202.23	128.26	106.58	88.31	71.05	Q02645	HTS_DROME	"Protein hu-li tai shao"	"Drosophila melanogaster (Fruit f"	3e-163
comp204279_c0	381.5	301.9	202.23	128.26	106.58	88.31	71.05	Q02645	HTS_DROME	"Protein hu-li tai shao"	"Drosophila melanogaster (Fruit f"	6e-162
comp204279_c0	381.5	301.9	202.23	128.26	106.58	88.31	71.05	Q02645	HTS_DROME	"Protein hu-li tai shao"	"Drosophila melanogaster (Fruit f"	5e-163
comp204279_c0	381.5	301.9	202.23	128.26	106.58	88.31	71.05	Q02645	HTS_DROME	"Protein hu-li tai shao"	"Drosophila melanogaster (Fruit f"	4e-162
comp118752_c0	381.36	411.08	369.1	366.81	59.03	56.33	160.29	O61462	RL37A_CRYST	"60S ribosomal protein L37a"	"Cryptochiton stelleri (Giant gum"	7e-51
comp118752_c0	381.36	411.08	369.1	366.81	59.03	56.33	160.29	Q91VY9	ZN622_MOUSE	"Zinc finger protein 622"	"Mus musculus (Mouse)."	5e-123
